date,amount,merchant,category,type,bank,day_of_week,hour,time_category,period_code,period_range
2025-06-21 20:03:00,9800.0,씨제이올리브영(주)고양원당점,쇼핑/의류,일시불,신한,5.0,20.0,evening,2025-W24,2025-06-16/2025-06-22
2025-06-19 17:31:00,10000.0,현주네뚝배기,식사/외식,일시불,신한,3.0,17.0,afternoon,2025-W24,2025-06-16/2025-06-22
2025-06-19 15:03:00,4400.0,(주)교보문고,쇼핑/의류,일시불,신한,3.0,15.0,afternoon,2025-W24,2025-06-16/2025-06-22
2025-06-18 21:47:00,9200.0,씨유 성북명랑점,쇼핑/의류,일시불,신한,2.0,21.0,evening,2025-W24,2025-06-16/2025-06-22
2025-06-18 01:34:00,49630.0,주식회사 무신사페이먼츠(MU,쇼핑/의류,일시불,신한,2.0,1.0,night,2025-W24,2025-06-16/2025-06-22
2025-06-16 19:29:00,60800.0,이야시,식사/외식,일시불,신한,0.0,19.0,evening,2025-W24,2025-06-16/2025-06-22
2025-06-16 03:56:00,1500.0,주식회사 몽땅컴퍼니,기타,일시불,신한,0.0,3.0,night,2025-W24,2025-06-16/2025-06-22
2025-06-15 23:38:00,6500.0,주식회사 몽땅컴퍼니,기타,일시불,신한,6.0,23.0,evening,2025-W24,2025-06-09/2025-06-15
2025-06-15 20:45:00,11200.0,래격마라탕,식사/외식,일시불,신한,6.0,20.0,evening,2025-W24,2025-06-09/2025-06-15
2025-06-15 18:29:00,6800.0,투썸플레이스 화정점,카페/음료,일시불,신한,6.0,18.0,evening,2025-W24,2025-06-09/2025-06-15
2025-06-15 15:00:00,9400.0,(주)카카오,금융/이체,일시불,신한,6.0,15.0,afternoon,2025-W24,2025-06-09/2025-06-15
2025-06-12 22:15:00,1400.0,달콤샵(어울림점),식사/외식,일시불,신한,3.0,22.0,evening,2025-W23,2025-06-09/2025-06-15
2025-06-12 17:36:00,4700.0,(주)카카오,금융/이체,일시불,신한,3.0,17.0,afternoon,2025-W23,2025-06-09/2025-06-15
2025-06-12 13:40:00,2600.0,(주)씨앤코컴퍼니 성신여대수정,기타,일시불,신한,3.0,13.0,afternoon,2025-W23,2025-06-09/2025-06-15
2025-06-12 13:13:00,2400.0,이마트24 성신여대수정관점,쇼핑/의류,일시불,신한,3.0,13.0,afternoon,2025-W23,2025-06-09/2025-06-15
2025-06-11 21:17:00,3300.0,㈜발트페이,금융/이체,일시불,신한,2.0,21.0,evening,2025-W23,2025-06-09/2025-06-15
2025-06-11 13:15:00,3000.0,매머드익스프레스성신여대점,카페/음료,일시불,신한,2.0,13.0,afternoon,2025-W23,2025-06-09/2025-06-15
2025-06-11 13:10:00,200.0,출력119,기타,일시불,신한,2.0,13.0,afternoon,2025-W23,2025-06-09/2025-06-15
2025-06-11 13:08:00,200.0,출력119,기타,일시불,신한,2.0,13.0,afternoon,2025-W23,2025-06-09/2025-06-15
2025-06-10 14:56:00,4000.0,카페클라츠,카페/음료,일시불,신한,1.0,14.0,afternoon,2025-W23,2025-06-09/2025-06-15
2025-06-10 14:19:00,9500.0,면식당성신여대점,식사/외식,일시불,신한,1.0,14.0,afternoon,2025-W23,2025-06-09/2025-06-15
2025-06-09 18:27:00,4000.0,매머드익스프레스성신여대점,카페/음료,일시불,신한,0.0,18.0,evening,2025-W23,2025-06-09/2025-06-15
2025-06-08 16:34:00,22800.0,핵밥 성신여대점,식사/외식,일시불,신한,6.0,16.0,afternoon,2025-W23,2025-06-02/2025-06-08
2025-06-07 15:55:00,3400.0,오와케이크 성산여대점,카페/음료,일시불,신한,5.0,15.0,afternoon,2025-W22,2025-06-02/2025-06-08
2025-06-06 15:21:00,5100.0,세븐일레븐 성북성신여고점,쇼핑/의류,일시불,신한,4.0,15.0,afternoon,2025-W22,2025-06-02/2025-06-08
2025-06-05 17:35:00,2400.0,이마트24 성신여대수정관점,쇼핑/의류,일시불,신한,3.0,17.0,afternoon,2025-W22,2025-06-02/2025-06-08
2025-06-05 14:46:00,4500.0,오와케이크 성산여대점,카페/음료,일시불,신한,3.0,14.0,afternoon,2025-W22,2025-06-02/2025-06-08
2025-06-05 00:00:00,59800.0,한국철도공사,교통,일시불,신한,3.0,0.0,night,2025-W22,2025-06-02/2025-06-08
2025-06-04 17:55:00,3400.0,오와케이크 성산여대점,카페/음료,일시불,신한,2.0,17.0,afternoon,2025-W22,2025-06-02/2025-06-08
2025-06-03 14:59:00,21000.0,멘지 성신여대점,식사/외식,일시불,신한,1.0,14.0,afternoon,2025-W22,2025-06-02/2025-06-08
2025-06-03 00:11:00,1000.0,메타코인,게임/엔터,일시불,신한,1.0,0.0,night,2025-W22,2025-06-02/2025-06-08
2025-06-03 00:06:00,28800.0,그날그밤(성신여대점),식사/외식,일시불,신한,1.0,0.0,night,2025-W22,2025-06-02/2025-06-08
2025-06-02 20:10:00,10000.0,(주)대승인터컴,기타,일시불,신한,0.0,20.0,evening,2025-W22,2025-06-02/2025-06-08
2025-06-02 11:16:00,4089.0,Amazon_AWS,구독/정기결제,일시불,신한,0.0,11.0,morning,2025-W22,2025-06-02/2025-06-08
2025-05-31 21:47:00,3100.0,주식회사 스타필드고양,기타,일시불,신한,5.0,21.0,evening,2025-W21,2025-05-26/2025-06-01
2025-05-29 15:52:00,2600.0,더비즈랩 성신여대 수하루점,카페/음료,일시불,신한,3.0,15.0,afternoon,2025-W21,2025-05-26/2025-06-01
2025-05-29 00:46:00,30000.0,우아한형제들㈜,식사/외식,일시불,신한,3.0,0.0,night,2025-W21,2025-05-26/2025-06-01
2025-05-28 17:15:00,10900.0,육연식당,식사/외식,일시불,신한,2.0,17.0,afternoon,2025-W21,2025-05-26/2025-06-01
2025-05-28 14:43:00,5200.0,매머드익스프레스성신여대점,카페/음료,일시불,신한,2.0,14.0,afternoon,2025-W21,2025-05-26/2025-06-01
2025-05-26 20:05:00,1000.0,메타코인,게임/엔터,일시불,신한,0.0,20.0,evening,2025-W21,2025-05-26/2025-06-01
2025-05-26 20:05:00,10000.0,메타코인,게임/엔터,일시불,신한,0.0,20.0,evening,2025-W21,2025-05-26/2025-06-01
2025-05-26 17:30:00,10000.0,스파츠(SPATZ),카페/음료,일시불,신한,0.0,17.0,afternoon,2025-W21,2025-05-26/2025-06-01
2025-05-26 16:54:00,10000.0,성수완당 성신여대점,식사/외식,일시불,신한,0.0,16.0,afternoon,2025-W21,2025-05-26/2025-06-01
2025-05-25 16:26:00,41000.0,주식회사 투맨푸드,식사/외식,일시불,신한,6.0,16.0,afternoon,2025-W21,2025-05-19/2025-05-25
2025-05-25 09:45:00,3900.0,(주)카카오,금융/이체,일시불,신한,6.0,9.0,morning,2025-W21,2025-05-19/2025-05-25
2025-05-24 18:43:00,13400.0,카카오T일반택시_0,교통,일시불,신한,5.0,18.0,evening,2025-W20,2025-05-19/2025-05-25
2025-05-24 18:07:00,-13000.0,카카오T택시_가승인,교통,일시불,신한,5.0,18.0,evening,2025-W20,2025-05-19/2025-05-25
2025-05-24 11:37:00,5900.0,카카오T일반택시_4,교통,일시불,신한,5.0,11.0,morning,2025-W20,2025-05-19/2025-05-25
2025-05-24 11:25:00,-6500.0,카카오T택시_가승인,교통,일시불,신한,5.0,11.0,morning,2025-W20,2025-05-19/2025-05-25
2025-05-23 02:38:00,25500.0,쿠팡,쇼핑/의류,일시불,신한,4.0,2.0,night,2025-W20,2025-05-19/2025-05-25
